stock_code,stock_name,strategy,peak_date,peak_price,buy_date,buy_price,prediction_time
600031.SH,,highest_peak,20210210,47.93,20240810,14.379,2025-03-26 00:45:12
600674.SH,,highest_peak,20150612,30.78,20181212,9.234,2025-03-26 00:51:35
000651.SZ,,highest_peak,20200110,69.75,20230710,20.925,2025-03-26 00:43:30
300999.SZ,,highest_peak,20210108,145.0,20240708,43.5,2025-03-26 00:47:27
600570.SH,,highest_peak,20150612,166.17,20181212,49.85099999999999,2025-03-26 00:42:31
603019.SH,,highest_peak,20150522,148.2,20181122,44.459999999999994,2025-03-26 00:45:23
601669.SH,,highest_peak,20150430,18.28,20181030,5.484,2025-03-26 00:41:28
600015.SH,,highest_peak,20150612,17.18,20181212,5.154,2025-03-26 00:41:56
003816.SZ,,highest_peak,20190830,5.18,20230228,1.5539999999999998,2025-03-26 00:51:37
600886.SH,,highest_peak,20150626,15.16,20181226,4.548,2025-03-26 00:41:35
601328.SH,,highest_peak,20150612,8.89,20181212,2.6670000000000003,2025-03-26 00:43:28
601136.SH,,highest_peak,20230818,27.0,20270218,8.1,2025-03-26 00:47:44
601816.SH,,highest_peak,20200207,7.73,20230807,2.319,2025-03-26 00:42:47
300661.SZ,,highest_peak,20200515,391.05,20231115,117.315,2025-03-26 00:51:07
000617.SZ,,highest_peak,20170106,22.03,20200706,6.609,2025-03-26 00:48:34
603833.SH,,highest_peak,20210409,170.4,20241009,51.12,2025-03-26 00:47:42
688111.SH,,highest_peak,20230621,497.5,20261221,149.25,2025-03-26 00:44:58
002311.SZ,,highest_peak,20210210,86.05,20240810,25.814999999999998,2025-03-26 00:41:14
600519.SH,,highest_peak,20210210,2601.0,20240810,780.3,2025-03-26 00:51:41
002142.SZ,,highest_peak,20210219,43.16,20240819,12.947999999999999,2025-03-26 00:44:15
300450.SZ,,highest_peak,20150814,188.0,20190214,56.4,2025-03-26 00:50:44
603195.SH,,highest_peak,20210108,242.65,20240708,72.795,2025-03-26 00:47:31
600048.SH,,highest_peak,20220415,19.32,20251015,5.796,2025-03-26 00:39:48
688187.SH,,highest_peak,20211126,85.8,20250526,25.74,2025-03-26 00:47:40
000776.SZ,,highest_peak,20120601,33.03,20151201,9.909,2025-03-26 00:41:54
601186.SH,,highest_peak,20150605,25.28,20181205,7.584,2025-03-26 00:49:40
601398.SH,,highest_peak,20180202,7.6,20210802,2.28,2025-03-26 00:44:02
000568.SZ,,highest_peak,20210210,313.99,20240810,94.197,2025-03-26 00:45:01
688012.SH,,highest_peak,20200710,269.18,20240110,80.754,2025-03-26 00:44:36
605117.SH,,highest_peak,20220819,426.0,20260219,127.8,2025-03-26 00:47:10
600809.SH,,highest_peak,20210618,489.06,20241218,146.718,2025-03-26 00:45:39
603392.SH,,highest_peak,20210210,337.53,20240810,101.25899999999999,2025-03-26 00:46:49
002129.SZ,,highest_peak,20220708,59.8,20260108,17.939999999999998,2025-03-26 00:51:30
000895.SZ,,highest_peak,20130419,81.0,20161019,24.3,2025-03-26 00:51:02
002180.SZ,,highest_peak,20150612,71.27,20181212,21.380999999999997,2025-03-26 00:50:53
601899.SH,,highest_peak,20230414,13.94,20261014,4.1819999999999995,2025-03-26 00:43:55
601100.SH,,highest_peak,20210210,127.24,20240810,38.172,2025-03-26 00:41:24
600023.SH,,highest_peak,20150605,13.29,20181205,3.9869999999999997,2025-03-26 00:45:59
000792.SZ,,highest_peak,20210827,42.29,20250227,12.687,2025-03-26 00:40:25
688223.SH,,highest_peak,20221104,18.58,20260504,5.573999999999999,2025-03-26 00:50:29
300316.SZ,,highest_peak,20211112,82.73,20250512,24.819,2025-03-26 00:46:11
603288.SH,,highest_peak,20210108,214.25,20240708,64.27499999999999,2025-03-26 00:40:22
002271.SZ,,highest_peak,20150529,60.28,20181129,18.084,2025-03-26 00:46:47
600837.SH,,highest_peak,20150424,28.84,20181024,8.652,2025-03-26 00:45:30
600309.SH,,highest_peak,20210210,140.42,20240810,42.126,2025-03-26 00:43:05
688599.SH,,highest_peak,20220812,83.08,20260212,24.924,2025-03-26 00:47:25
600845.SH,,highest_peak,20150605,87.9,20181205,26.37,2025-03-26 00:50:55
301269.SZ,,highest_peak,20230407,136.91,20261007,41.073,2025-03-26 00:46:38
002648.SZ,,highest_peak,20120309,57.75,20150909,17.325,2025-03-26 00:49:49
601898.SH,,highest_peak,20150612,11.69,20181212,3.5069999999999997,2025-03-26 00:48:15
601111.SH,,highest_peak,20150703,15.36,20190103,4.608,2025-03-26 00:50:31
601888.SH,,highest_peak,20210210,387.86,20240810,116.358,2025-03-26 00:40:03
600050.SH,,highest_peak,20150612,9.75,20181212,2.925,2025-03-26 00:45:35
688126.SH,,highest_peak,20200731,51.3,20240131,15.389999999999999,2025-03-26 00:48:52
000630.SZ,,highest_peak,20120504,22.94,20151104,6.882000000000001,2025-03-26 00:47:00
002050.SZ,,highest_peak,20220729,32.5,20260129,9.75,2025-03-26 00:40:38
001289.SZ,,highest_peak,20220311,28.35,20250911,8.505,2025-03-26 00:47:59
600362.SH,,highest_peak,20210910,28.58,20250310,8.574,2025-03-26 00:46:01
601668.SH,,highest_peak,20150430,10.9,20181030,3.27,2025-03-26 00:44:18
600372.SH,,highest_peak,20150612,47.13,20181212,14.139000000000001,2025-03-26 00:50:21
601865.SH,,highest_peak,20211231,57.94,20250630,17.381999999999998,2025-03-26 00:48:29
000408.SZ,,highest_peak,20211231,41.0,20250630,12.299999999999999,2025-03-26 00:48:47
601390.SH,,highest_peak,20150605,22.64,20181205,6.792,2025-03-26 00:39:56
002555.SZ,,highest_peak,20150508,86.38,20181108,25.913999999999998,2025-03-26 00:47:17
600887.SH,,highest_peak,20210108,49.27,20240708,14.781,2025-03-26 00:44:13
600066.SH,,highest_peak,20150515,32.53,20181115,9.759,2025-03-26 00:50:04
000963.SZ,,highest_peak,20170519,93.58,20201119,28.073999999999998,2025-03-26 00:50:14
601127.SH,,highest_peak,20231103,89.0,20270503,26.7,2025-03-26 00:45:49
000166.SZ,,highest_peak,20150605,19.15,20181205,5.744999999999999,2025-03-26 00:42:35
002460.SZ,,highest_peak,20210827,196.35,20250227,58.904999999999994,2025-03-26 00:41:16
300433.SZ,,highest_peak,20150522,137.81,20181122,41.342999999999996,2025-03-26 00:41:09
600460.SH,,highest_peak,20210730,69.69,20250130,20.907,2025-03-26 00:51:16
601012.SH,,highest_peak,20210210,121.98,20240810,36.594,2025-03-26 00:45:19
601881.SH,,highest_peak,20170915,15.81,20210315,4.743,2025-03-26 00:50:06
001965.SZ,,highest_peak,20171229,13.85,20210629,4.154999999999999,2025-03-26 00:51:00
600188.SH,,highest_peak,20220909,53.92,20260309,16.176,2025-03-26 00:47:15
002049.SZ,,highest_peak,20220812,233.0,20260212,69.89999999999999,2025-03-26 00:41:33
601838.SH,,highest_peak,20220610,17.27,20251210,5.181,2025-03-26 00:41:42
