stock_code,stock_name,strategy,peak_date,peak_price,buy_date,buy_price,prediction_time
688981.SH,,latest_peak,20200731,82.21,20240131,24.662999999999997,2025-03-26 00:44:12
603259.SH,,latest_peak,20210716,165.1,20250116,49.529999999999994,2025-03-26 00:42:52
600803.SH,,latest_peak,20150612,26.01,20181212,7.803,2025-03-26 00:48:20
000425.SZ,,latest_peak,20150612,17.83,20181212,5.348999999999999,2025-03-26 00:40:35
300274.SZ,,latest_peak,20211231,145.8,20250630,43.74,2025-03-26 00:45:18
600919.SH,,latest_peak,20160812,13.53,20200212,4.058999999999999,2025-03-26 00:43:04
002714.SZ,,latest_peak,20210430,113.11,20241030,33.933,2025-03-26 00:45:33
300832.SZ,,latest_peak,20201016,195.25,20240416,58.574999999999996,2025-03-26 00:47:13
601989.SH,,latest_peak,20150814,16.46,20190214,4.938,2025-03-26 00:42:25
300498.SZ,,latest_peak,20160408,51.7,20191008,15.51,2025-03-26 00:44:42
000596.SZ,,latest_peak,20231103,273.65,20270503,82.09499999999998,2025-03-26 00:50:25
600029.SH,,latest_peak,20180223,12.29,20210823,3.6869999999999994,2025-03-26 00:49:23
600039.SH,,latest_peak,20230609,14.94,20261209,4.481999999999999,2025-03-26 00:47:22
002007.SZ,,latest_peak,20201009,61.35,20240409,18.405,2025-03-26 00:48:28
688009.SH,,latest_peak,20190802,12.12,20230202,3.6359999999999997,2025-03-26 00:48:02
002371.SZ,,latest_peak,20211112,440.99,20250512,132.297,2025-03-26 00:43:01
600219.SH,,latest_peak,20150605,13.49,20181205,4.047,2025-03-26 00:50:48
300442.SZ,,latest_peak,20150529,130.9,20181129,39.27,2025-03-26 00:41:27
002812.SZ,,latest_peak,20220624,261.87,20251224,78.56099999999999,2025-03-26 00:46:20
601998.SH,,latest_peak,20150717,9.8,20190117,2.94,2025-03-26 00:50:36
601988.SH,,latest_peak,20150710,5.53,20190110,1.659,2025-03-26 00:43:26
601169.SH,,latest_peak,20150710,13.13,20190110,3.939,2025-03-26 00:44:44
600028.SH,,latest_peak,20180928,7.12,20220328,2.136,2025-03-26 00:44:57
600150.SH,,latest_peak,20150612,68.6,20181212,20.58,2025-03-26 00:40:45
601377.SH,,latest_peak,20150612,17.08,20181212,5.124,2025-03-26 00:41:45
600918.SH,,latest_peak,20201231,18.5,20240630,5.55,2025-03-26 00:48:26
